r100014,r397114
r206152,r298659
r206152,r843997
r206171,r920611
r206187,r163445
r206220,r429149
r206220,r973426
r206231,r134603
r206231,r738316
r206231,r759769
r206241,r712783
r206401,r318247
r206420,r285446
r206420,r285732
r206420,r745137
r206432,r475138
r206435,r586856
r206484,r923176
r206549,r681790
r206569,r732751
r206618,r861211
r206660,r614325
r206661,r415129
r206661,r830125
r206716,r649445
r206783,r374336
r206814,r686439
r206814,r749322
r206833,r614077
r206833,r827643
r206864,r287176
r206870,r600470
r206927,r162673
r206927,r772302
r206941,r420906
r206941,r963278
r206961,r502835
r206972,r564295
r206987,r881238
r206999,r987257
r207034,r510690
r207039,r109163
r207128,r210872
r207193,r220299
r207208,r309778
r207249,r306741
r207289,r392597
r207289,r625038
r207319,r863732
r207326,r253698
r207326,r556196
r207326,r570660
r207410,r159390
r207434,r788926
r207470,r457779
r207470,r961399
r207540,r261435
r207557,r878090
r207595,r817704
r207618,r142313
r207635,r671054
r207648,r537660
r207657,r902671
r207684,r218290
r207758,r872545
r207811,r356165
r207895,r320466
r207910,r816116
r207921,r406123
r207923,r777033
r207967,r959384
r208005,r935170
r208026,r965708
r208078,r147353
r208105,r631353
r208125,r484432
r208125,r529212
r208125,r856399
r208153,r929131
r208171,r265736
r208171,r384061
r208185,r812500
r208189,r230166
r208222,r683139
r208229,r639924
r208229,r820857
r208229,r849393
r208251,r245483
r208251,r929515
r208335,r233988
r208340,r505983
r208347,r241478
r208347,r604991
r208374,r128463
r208395,r592873
r208399,r492454
r208399,r677591
r208399,r769659
r208407,r783668
r208420,r147848
r208428,r815422
r208496,r170879
r208512,r133863
r208576,r212915
r208576,r699281
r208576,r771885
r208580,r867176
r208589,r371784
r208629,r719237
r208683,r696551
r208701,r513119
r208798,r156774
r208798,r541757
r208798,r924051
r208810,r393489
r208810,r620655
r208877,r395965
r208878,r602089
r208974,r589207
r208974,r755807
r208974,r913589
r208991,r404734
r209024,r434678
r209032,r318404
r209054,r344984
r209054,r496056
r209054,r507168
r209063,r414149
r209063,r768199
r209085,r183638
r209090,r524400
r209100,r726482
r209126,r943477
r209157,r501642
r209185,r863192
r209201,r163559
r209201,r958434
r209247,r121896
r209247,r227595
r209247,r274242
r209247,r293241
r209247,r403546
r209369,r450486
r209406,r995621
r209421,r733724
r209432,r324786
r209514,r204692
r209524,r514166
r209547,r181463
r209554,r431343
r209603,r849131
r209725,r606136
r209768,r341041
r209787,r199165
r209787,r666978
r209847,r972076
r209853,r502724
r209896,r874609
r209949,r380448
r209949,r530387
r209949,r624798
r209949,r633782
r210024,r250844
r210046,r746245
r210063,r169256
r210068,r572525
r210068,r596950
r210139,r709925
r210164,r434234
r210180,r414554
r210184,r614397
r210193,r142608
r210196,r239324
r210224,r806274
r210224,r880513
r210365,r655270
r210415,r221298
r210415,r969825
r210449,r178313
r210505,r433199
r210505,r678634
r210563,r512126
r210563,r613524
r210563,r738696
r210563,r795559
r210563,r965250
r210600,r893418
r210617,r307070
r210617,r463176
r210647,r542494
r210715,r241838
r210715,r336727
r210715,r861802
r210745,r803115
r210749,r467666
r210763,r286225
r210795,r198092
r210795,r638322
r210862,r636087
r210901,r669976
r210905,r166680
r210905,r219502
r210905,r659906
r210907,r312470
r210907,r479373
r210923,r613624
r210923,r815039
r210951,r725556
r210984,r375342
r210991,r224285
r211074,r343553
r211177,r118293
r211178,r346446
r211189,r304288
r211198,r731230
r211206,r685905
r211230,r895231
r211246,r129396
r211289,r808391
r211289,r926284
r211299,r114356
r211299,r116824
r211311,r780909
r211319,r156774
r211356,r834431
r211363,r429798
r211436,r612281
r211436,r858146
r211454,r380570
r211494,r234925
r211494,r347670
r211494,r411226
r211494,r807708
r211528,r563945
r211528,r944771
r211577,r794804
r211577,r985154
r211621,r902376
r211631,r181199
r211663,r458537
r211663,r696955
r211672,r377716
r211685,r618305
r211689,r431832
r211789,r414651
r211833,r492154
r211833,r508644
r211833,r589705
r211842,r128628
r211856,r826723
r211860,r376534
r211888,r201126
r211888,r441038
r211888,r605296
r211899,r596396
r211960,r203695
r211960,r867149
r211973,r326512
r212034,r841756
r212081,r340085
r212081,r596950
r212081,r622393
r212081,r778875
r212081,r860616
r212081,r960003
r212271,r692408
r212278,r201591
r212340,r316752
r212406,r557753
r212420,r229920
r212481,r388887
r212481,r780200
r212492,r915800
r212521,r156580
r212521,r420677
r212591,r886392
r212605,r818548
r212605,r969926
r212622,r293356
r212622,r587801
r212681,r574522
r212697,r741172
r212826,r218516
r212826,r650831
r212826,r707691
r212826,r841175
r212826,r905495
r212889,r452489
r212889,r556685
r212889,r899486
r212929,r367160
r212943,r472465
r212943,r537137
r212943,r707313
r212943,r828714
r212977,r906310
r213002,r197594
r213002,r536523
r213005,r664313
r213007,r548859
r213007,r659756
r213024,r342679
r213056,r346044
r213056,r797792
r213082,r253927
r213082,r411329
r213087,r135414
r213141,r597948
r213173,r130642
r213173,r199976
r213173,r740495
r213187,r700139
r213212,r288971
r213212,r379012
r213212,r703094
r213212,r962632
r213219,r630170
r213262,r546755
r213262,r984978
r213295,r272672
r213295,r496173
r213295,r847355
r213295,r883506
r213325,r642747
r213344,r572505
r213439,r200738
r213478,r280844
r213478,r319843
r213536,r611501
r213604,r564612
r213620,r259480
r213669,r132755
r213669,r220540
r213669,r511685
r213669,r763319
r213669,r833689
r213669,r997603
r213682,r649432
r213690,r446158
r213690,r708796
r213691,r328157
r213706,r619087
r213721,r995964
r213767,r163704
r213767,r550859
r213790,r399152
r213835,r690533
r213849,r257401
r213849,r640721
r213909,r336030
r213957,r227845
r213957,r583978
r214031,r121351
r214031,r398164
r214031,r635549
r214144,r889693
r214156,r434054
r214188,r419092
r214201,r551219
r214201,r859440
r214278,r554782
r214278,r749299
r214313,r537917
r214319,r283964
r214364,r177073
r214364,r591053
r214365,r308953
r214443,r471206
r214456,r400897
r214456,r896785
r214502,r389862
r214502,r814187
r214502,r850985
r214503,r780015
r214644,r775705
r214658,r789832
r214658,r880030
r214712,r268377
r214712,r395155
r214712,r677690
r214723,r143338
r214723,r164659
r214723,r301949
r214723,r317571
r214723,r689574
r214723,r753690
r214786,r735023
r214790,r495334
r214822,r181326
r214884,r708136
r214884,r855707
r214952,r131688
r214979,r796931
r214994,r240071
r214994,r341242
r214994,r551326
r214994,r842287
r215001,r646019
r215008,r562242
r215033,r752442
r215075,r147619
r215087,r877268
r215118,r270645
r215127,r868339
r215153,r145036
r215153,r385680
r215224,r238960
r215229,r832281
r215282,r960509
r215286,r367289
r215321,r549133
r215346,r440764
r215393,r567064
r215476,r363832
r215480,r344303
r215483,r238491
r215483,r331015
r215483,r790764
r215506,r967588
r215526,r189245
r215559,r660945
r215559,r735110
r215559,r792881
r215559,r927613
r215563,r461482
r215592,r792370
r215595,r430314
r215674,r732620
r215702,r510092
r215702,r653254
r215710,r244555
r215733,r536435
r215788,r152062
r215788,r880981
r215788,r885682
r215794,r368625
r215794,r771590
r215851,r379050
r215941,r859593
r216017,r901979
r216055,r529346
r216075,r117123
r216078,r106875
r216078,r277333
r216078,r792135
r216121,r224518
r216127,r285039
r216146,r252110
r216146,r371275
r216146,r464366
r216146,r955444
r216191,r259609
r216191,r466205
r216191,r842324
r216192,r693046
r216208,r621453
r216247,r276563
r216247,r320320
r216276,r638457
r216279,r308680
r216279,r790436
r216309,r782819
r216346,r111626
r216346,r118257
r216346,r276531
r216346,r665419
r216351,r203012
r216498,r104901
r216542,r559074
r216570,r754742
r216617,r858331
r216617,r943917
r216647,r966437
r216649,r187074
r216649,r813477
r216655,r267100
r216655,r288733
r216655,r434185
r216655,r840227
r216655,r866873
r216655,r900497
r216655,r901979
r216661,r546480
r216676,r111270
r216676,r154847
r216748,r748265
r216793,r121056
r216859,r128215
r216940,r246751
r216940,r585236
r216940,r719828
r217116,r553441
r217116,r789071
r217117,r693915
r217212,r792747
r217275,r685050
r217281,r245821
r217281,r289527
r217281,r314732
r217281,r358591
r217281,r835387
r217294,r166934
r217294,r900016
r217294,r988315
r217312,r157597
r217312,r365557
r217312,r730762
r217312,r766156
r217312,r829851
r217329,r161270
r217336,r136969
r217345,r905533
r217347,r879638
r217352,r209239
r217352,r857441
r217368,r178306
r217400,r919847
r217432,r622826
r217432,r939240
r217501,r676085
r217503,r217481
r217508,r369770
r217582,r675590
r217582,r989436
r217598,r390243
r217695,r668098
r217709,r590472
r217734,r597648
r217758,r116291
r217758,r841755
r217794,r557429
r217813,r978636
r217823,r164453
r217824,r252214
r217824,r964205
r217898,r432677
r217932,r589594
r217932,r716524
r217932,r860125
r217963,r598738
r218005,r761703
r218014,r283382
r218014,r395578
r218017,r278339
r218107,r309405
r218151,r235772
r218151,r459617
r218151,r807477
r218204,r159640
r218204,r325222
r218204,r585858
r218229,r341518
r218239,r580076
r218239,r838529
r218276,r481085
r218303,r496051
r218303,r504348
r218303,r653178
r218306,r904926
r218307,r145702
r218307,r270719
r218307,r877854
r218325,r345058
r218377,r740840
r218464,r286225
r218464,r453341
r218464,r466336
r218464,r694137
r218464,r737612
r218464,r761651
r218464,r986047
r218526,r282918
r218530,r105846
r218530,r387401
r218530,r604389
r218560,r534618
r218591,r346038
r218625,r768752
r218643,r584150
r218670,r128908
r218670,r857367
r218680,r180721
r218680,r431740
r218705,r378621
r218771,r110574
r218771,r492122
r218839,r914043
r218854,r506071
r218890,r501557
r218899,r302087
r218935,r556196
r218935,r966437
r219058,r315540
r219059,r848236
r219065,r764378
r219103,r240551
r219117,r130509
r219117,r223674
r219117,r773981
r219126,r716266
r219215,r646925
r219224,r241606
r219273,r786927
r219367,r528248
r219388,r524410
r219388,r944327
r219426,r780582
r219439,r117712
r219439,r187319
r219439,r800581
r219439,r921227
r219468,r223682
r219468,r526767
r219468,r967155
r219478,r118660
r219478,r944001
r219517,r890646
r219578,r741415
r219604,r368367
r219604,r709725
r219658,r606043
r219705,r612103
r219746,r535304
r219858,r622682
r219858,r649186
r219908,r278353
r219908,r642217
r219908,r877148
r219908,r922547
r219939,r413559
r219967,r282492
r219967,r297430
r219967,r529796
r219967,r589689
r219984,r984484
r220033,r356533
r220049,r804563
r220111,r760446
r220114,r537928
r220119,r210110
r220119,r380078
r220119,r549082
r220119,r571688
r220119,r777786
r220119,r939656
r220126,r594035
r220141,r661334
r220151,r678315
r220268,r102431
r220268,r547449
r220286,r983493
r220312,r357286
r220312,r913405
r220374,r656348
r220390,r657364
r220392,r217229
r220392,r269239
r220392,r351273
r220392,r521623
r220392,r776994
r220392,r912575
r220392,r988370
r220421,r579478
r220469,r338357
r220476,r290254
r220476,r503230
r220476,r579478
r220515,r369512
r220515,r460569
r220515,r495437
r220557,r269369
r220689,r811208
r220709,r607164
r220725,r837725
r220746,r709267
r220863,r120966
r220903,r101530
r220975,r225253
r220977,r123917
r220977,r542504
r220983,r123406
r220983,r551998
r220983,r803274
r221078,r510877
r221078,r654683
r221094,r552335
r221107,r826856
r221131,r604973
r221178,r941058
r221196,r981967
r221198,r134875
r221198,r945862
r221255,r308848
r221255,r876864
r221320,r726088
r221320,r977032
r221369,r842578
r221383,r583131
r221403,r183726
r221469,r177547
r221481,r440680
r221481,r445889
r221484,r810764
r221491,r760102
r221499,r393334
r221530,r801831
r221567,r120198
r221567,r131541
r221567,r593640
r221567,r657364
r221567,r851983
r221603,r930717
r221652,r133494
r221673,r337682
r221705,r439515
r221725,r292500
r221725,r329169
r221780,r417731
r221780,r435727
r221780,r777786
r221794,r793560
r221835,r240181
r221859,r520603
r221862,r146294
r221866,r438891
r221926,r269386
r221926,r440797
r221926,r689574
r221926,r999819
r221992,r191409
r222021,r753002
r222066,r261860
r222099,r882484
r222103,r154640
r222103,r516614
r222103,r651709
r222103,r760712
r222103,r954421
r222107,r138791
r222107,r343745
r222177,r310855
r222177,r579708
r222177,r587842
r222177,r823278
r222177,r924051
r222177,r936977
r222177,r980581
r222187,r966423
r222279,r982296
r222299,r397066
r222342,r970648
r222379,r125960
r222409,r287176
r222440,r159640
r222440,r388399
r222559,r129139
r222565,r357228
r222565,r589545
r222565,r722770
r222590,r482975
r222590,r786496
r222590,r985496
r222597,r276531
r222597,r927630
r222638,r520958
r222639,r433163
r222656,r705469
r222690,r191137
r222801,r801435
r222847,r839531
r222892,r192723
r222892,r360221
r222892,r772641
r222920,r358591
r222934,r847624
r222969,r127477
r222969,r163759
r222969,r480617
r222995,r711912
r222995,r800770
r222999,r256386
r222999,r487755
r223016,r864749
r223174,r281385
r223228,r520437
r223247,r492297
r223247,r814730
r223324,r332166
r223326,r202549
r223331,r680209
r223432,r398173
r223441,r416593
r223441,r456432
r223506,r998035
r223536,r751697
r223615,r191501
r223641,r233499
r223641,r836058
r223783,r194194
r223783,r242037
r223783,r409655
r223783,r944089
r223789,r729249
r223789,r752441
r223789,r975020
r223794,r109366
r223856,r516501
r223886,r152584
r223886,r508012
r223888,r417528
r223924,r145025
r223989,r705092
r223989,r746786
r223989,r795158
r224021,r858005
r224063,r513603
r224063,r766138
r224167,r657520
r224167,r747632
r224187,r426133
r224187,r550562
r224187,r922034
r224188,r236082
r224188,r309401
r224188,r340355
r224188,r505593
r224188,r576604
r224188,r651224
r224188,r732457
r224188,r801479
r224195,r392597
r224197,r461053
r224256,r640144
r224257,r782663
r224261,r635843
r224261,r727145
r224301,r934332
r224305,r644990
r224337,r606804
r224337,r835126
r224345,r290388
r224382,r504984
r224397,r522295
r224397,r707857
r224403,r540761
r224403,r860308
r224425,r512126
r224425,r880513
r224425,r918715
r224484,r248555
r224489,r321402
r224489,r536523
r224489,r572239
r224489,r699781
r224536,r120855
r224554,r826475
r224612,r321842
r224612,r718374
r224632,r657520
r224655,r430207
r224675,r648288
r224687,r711714
r224757,r730413
r224788,r909013
r224847,r234750
r224855,r556392
r224887,r966407
r224899,r471188
r224899,r604311
r224960,r624663
r224967,r974219
r225022,r418997
r225032,r782545
r225043,r185419
r225100,r771796
r225164,r216704
r225180,r801707
r225189,r225581
r225189,r367442
r225189,r798042
r225195,r377571
r225195,r552885
r225195,r645750
r225195,r708096
r225195,r884098
r225297,r478552
r225298,r176993
r225298,r270689
r225298,r657520
r225298,r697892
r225298,r742369
r225298,r764706
r225382,r288021
r225382,r773297
r225424,r273233
r225442,r375748
r225465,r239871
r225465,r843493
r225470,r825589
r225494,r680413
r225530,r277450
r225607,r767051
r225659,r429377
r225692,r320597
r225692,r927676
r225736,r508901
r225765,r335039
r225765,r675438
r225769,r418732
r225839,r104757
r225839,r675860
r225839,r720966
r225894,r234454
r225941,r516145
r225987,r960186
r226068,r651895
r226145,r635423
r226145,r762445
r226150,r282020
r226154,r447955
r226241,r472421
r226241,r884839
r226258,r625415
r226324,r849393
r226374,r309179
r226374,r507313
r226403,r221359
r226435,r146602
r226460,r180007
r226466,r424910
r226485,r106589
r226485,r185144
r226503,r588913
r226551,r842183
r226551,r847918
r226553,r648042
r226566,r368949
r226606,r927422
r226650,r197120
r226683,r478017
r226688,r187486
r226688,r307778
r226692,r683446
r226692,r849089
r226692,r898979
r226731,r156448
r226731,r258237
r226731,r527119
r226731,r762534
r226731,r938526
r226738,r625144
r226772,r359278
r226785,r288971
r226785,r735118
r226800,r491828
r226800,r530776
r226800,r720695
r226836,r751580
r226841,r109621
r226850,r291648
r226850,r522295
r226913,r379253
r226931,r586518
r226931,r985055
r226986,r946921
r227067,r165324
r227080,r170451
r227099,r824494
r227114,r161746
r227134,r116115
r227191,r445908
r227197,r155239
r227197,r862203
r227219,r349702
r227230,r739911
r227282,r143338
r227282,r350576
r227282,r867815
r227282,r900635
r227405,r967165
r227417,r735745
r227417,r862302
r227426,r253592
r227426,r399811
r227426,r895557
r227429,r845011
r227522,r189337
r227522,r269386
r227653,r321415
r227691,r556685
r227715,r628692
r227732,r459916
r227797,r573709
r227807,r533136
r227829,r357781
r227829,r514191
r227829,r661621
r227829,r896561
r227852,r834536
r227866,r485874
r227870,r464870
r227870,r832306
r227870,r973541
r227883,r188373
r227883,r611659
r227883,r953023
r227945,r657520
r227984,r338519
r228094,r588242
r228097,r136592
r228097,r519991
r228097,r555165
r228120,r557831
r228156,r362321
r228169,r728094
r228178,r565906
r228178,r620798
r228223,r341984
r228319,r398521
r228350,r250028
r228353,r163096
r228373,r753259
r228382,r158435
r228392,r325222
r228392,r853733
r228394,r160845
r228394,r437008
r228394,r768088
r228396,r143363
r228438,r486623
r228451,r426619
r228451,r858029
r228478,r782341
r228498,r461424
r228514,r609289
r228535,r365140
r228535,r900938
r228561,r331664
r228561,r385834
r228561,r509825
r228584,r791327
r228629,r874328
r228646,r272864
r228763,r199447
r228763,r880330
r228896,r248847
r228946,r807647
r228946,r817144
r228946,r965887
r228969,r997703
r229012,r198942
r229012,r307627
r229037,r177034
r229042,r631509
r229074,r485491
r229078,r819801
r229088,r704898
r229088,r726626
r229090,r395483
r229090,r755771
r229179,r672885
r229184,r624654
r229200,r100859
r229200,r903023
r229200,r924467
r229245,r422037
r229245,r655174
r229280,r864174
r229280,r945934
r229298,r477261
r229330,r960579
r229339,r403786
r229444,r853415
r229490,r802915
r229543,r597527
r229554,r182324
r229616,r741301
r229724,r429249
r229887,r322557
r229887,r699341
r229887,r789252
r229887,r988658
r229901,r597386
r229914,r825629
r229973,r614760
r230015,r470623
r230039,r946969
r230113,r147848
r230184,r284088
r230245,r311733
r230275,r698548
r230287,r241478
r230287,r277179
r230287,r301237
r230287,r314055
r230287,r588566
r230287,r732904
r230287,r802542
r230287,r999819
r230343,r453107
r230343,r900207
r230373,r504021
r230393,r681344
r230595,r692218
r230620,r606267
r230666,r707313
r230688,r182990
r230699,r427141
r230699,r938254
r230734,r782835
r230774,r696036
r230852,r179587
r230868,r799818
r230905,r309788
r230910,r762606
r230980,r746048
r231073,r694925
r231079,r838079
r231090,r246325
r231091,r582855
r231092,r865446
r231107,r818007
r231160,r601968
r231237,r113005
r231237,r602598
r231237,r747319
r231237,r792456
r231241,r258823
r231241,r957091
r231242,r479803
r231246,r588249
r231279,r790077
r231291,r168247
r231320,r911964
r231335,r540610
r231378,r494813
r231595,r770290
r231658,r940919
r231718,r692953
r231718,r698828
r231731,r318257
r231754,r275820
r231754,r363505
r231754,r498434
r231784,r462417
r231786,r669359
r231797,r926129
r231865,r425073
r231880,r431935
r231967,r584059
r232061,r476987
r232061,r601059
r232081,r323551
r232265,r586518
r232265,r612146
r232265,r669600
r232267,r308680
r232267,r494907
r232267,r508225
r232267,r790436
r232318,r725273
r232350,r216172
r232350,r698697
r232354,r455056
r232389,r509516
r232392,r871259
r232469,r113363
r232509,r227332
r232516,r150216
r232525,r367803
r232527,r702530
r232553,r942673
r232558,r125266
r232558,r473105
r232558,r581953
r232558,r655299
r232558,r910628
r232558,r967731
r232594,r692234
r232599,r257714
r232616,r886122
r232652,r821120
r232662,r768099
r232662,r795776
r232678,r748188
r232678,r882095
r232732,r480412
r232752,r644105
r232752,r920757
r232759,r433633
r232760,r248956
r232760,r358347
r232760,r423725
r232760,r574575
r232760,r671565
r232760,r680353
r232760,r826638
r232771,r390146
r232771,r865005
r232780,r887460
r232804,r546849
r232826,r244436
r232870,r695374
r232913,r705580
r232970,r326013
r232995,r842178
r233092,r336587
r233092,r442069
r233121,r558247
r233144,r129809
r233172,r586856
r233279,r194194
r233279,r204692
r233279,r242037
r233279,r546724
r233279,r661954
r233279,r763327
r233279,r944089
r233279,r990919
r233296,r256896
r233296,r589066
r233296,r625415
r233296,r701699
r233336,r684473
r233337,r549133
r233337,r900829
r233338,r146238
r233338,r756807
r233385,r469600
r233412,r157597
r233412,r170641
r233412,r590681
r233412,r666939
r233416,r317829
r233476,r355320
r233476,r887492
r233489,r190840
r233505,r769233
r233540,r230791
r233672,r303351
r233672,r359979
r233676,r581571
r233686,r553473
r233690,r143689
r233690,r408921
r233690,r516950
r233690,r597956
r233699,r205753
r233710,r171916
r233710,r817144
r233770,r157780
r233770,r253927
r233770,r496910
r233770,r657942
r233770,r987684
r233776,r322054
r233776,r755180
r233776,r789606
r233776,r882786
r233796,r676957
r233925,r136664
r233925,r264895
r233925,r341984
r233925,r521653
r233925,r580665
r233925,r812960
r233937,r363354
r233937,r965522
r233951,r117280
r233998,r936963
r234002,r635175
r234031,r915731
r234034,r341752
r234035,r465062
r234146,r261307
r234146,r337045
r234146,r471319
r234146,r608136
r234191,r562463
r234191,r684554
r234195,r413711
r234195,r601724
r234196,r548097
r234200,r669403
r234240,r375204
r234263,r219113
r234288,r371394
r234293,r985043
r234302,r987154
r234367,r659990
r234404,r379318
r234432,r756655
r234450,r958829
r234486,r111480
r234521,r591623
r234521,r729192
r234543,r492635
r234561,r306016
r234561,r330400
r234585,r310518
r234585,r613364
r234595,r409307
r234595,r897726
r234595,r972845
r234607,r587896
r234636,r426511
r234647,r586158
r234709,r292545
r234711,r243326
r234749,r870566
r234792,r138458
r234800,r456068
r234800,r926808
r234816,r171330
r234816,r614277
r234836,r384001
r234836,r478261
r234843,r743669
r234845,r535039
r234845,r612609
r234914,r263135
r234914,r434078
r234914,r596856
r234914,r951291
r234999,r643495
r235006,r813525
r235046,r373596
r235046,r488480
r235178,r526913
r235195,r575817
r235259,r125130
r235324,r673628
r235372,r114082
r235372,r492163
r235372,r505640
r235391,r451969
r235391,r732338
r235491,r245976
r235491,r537379
r235526,r446977
r235526,r574575
r235526,r608933
r235526,r775531
r235526,r807865
r235540,r602598
r235540,r795143
r235542,r456697
r235542,r770197
r235542,r953023
r235591,r413132
r235591,r454994
r235591,r801122
r235591,r824031
r235623,r736497
r235625,r785837
r235652,r593432
r235652,r979576
r235661,r397702
r235688,r605706
r235693,r107912
r235707,r279106
r235760,r788113
r235807,r786584
r235807,r798366
r235810,r174381
r235821,r490600
r235836,r746791
r235896,r624248
r235909,r262204
r235956,r482384
r236003,r696298
r236003,r875301
r236023,r803924
r236023,r877339
r236044,r710357
r236049,r406394
r236060,r380810
r236090,r293128
r236090,r342657
r236090,r751914
r236148,r211131
r236148,r300952
r236148,r340355
r236148,r345329
r236148,r632061
r236148,r662648
r236148,r930888
r236190,r136146
r236213,r964736
r236235,r256193
r236264,r378073
r236299,r671557
r236304,r725118
r236379,r975521
r236451,r204656
r236451,r474434
r236474,r267757
r236474,r272859
r236480,r601441
r236483,r564454
r236578,r585079
r236578,r921227
r236578,r987328
r236611,r876684
r236621,r822096
r236661,r126280
r236661,r652239
r236661,r762522
r236682,r212915
r236682,r378619
r236682,r564574
r236682,r894829
r236688,r703693
r236706,r547030
r236752,r203232
r236843,r238593
r236969,r237483
r236977,r440417
r236977,r563634
r237042,r819549
r237042,r848372
r237049,r748659
r237064,r423220
r237064,r534077
r237064,r600630
r237065,r422085
r237077,r983236
r237161,r973190
r237240,r106306
r237240,r452751
r237258,r377650
r237258,r778844
r237282,r579822
r237300,r522561
r237330,r139945
r237342,r940420
r237361,r732983
r237375,r272899
r237422,r136199
r237449,r977680
r237465,r536523
r237465,r860685
r237465,r912344
r237468,r694777
r237503,r375351
r237519,r491828
r237519,r720695
r237519,r854599
r237532,r100346
r237532,r365264
r237532,r585143
r237534,r266955
r237634,r457989
r237678,r848065
r237686,r351119
r237736,r159260
r237762,r134875
r237762,r322247
r237762,r960406
r237762,r974041
r237828,r876444
r237836,r995694
r237912,r895412
r238049,r327214
r238049,r652582
r238093,r770579
r238182,r191674
r238182,r897198
r238212,r115851
r238212,r140784
r238229,r618681
r238273,r431929
r238288,r202111
r238315,r502305
r238336,r253698
r238336,r407359
r238336,r471319
r238336,r556196
r238336,r771488
r238336,r885949
r238336,r944001
r238367,r995853
r238399,r247629
r238430,r421380
r238450,r102263
r238450,r457164
r238450,r963601
r238463,r827144
r238488,r934784
r238488,r980895
r238501,r895585
r238554,r653859
r238563,r295101
r238604,r227265
r238604,r403006
r238604,r742421
r238604,r960187
r238604,r999049
r238658,r916436
r238674,r221285
r238701,r729249
r238721,r106703
r238721,r654575
r238768,r248964
r238768,r780341
r238782,r763695
r238795,r300785
r238795,r719064
r238797,r790436
r238800,r902199
r238809,r698542
r238814,r415143
r238864,r149428
r238903,r553441
r238919,r267942
r238919,r827866
r238959,r227332
r238959,r311636
r238959,r850527
r239025,r611752
r239029,r588506
r239060,r151964
r239060,r232655
r239077,r686467
r239225,r890789
r239248,r364018
r239277,r453822
r239284,r569137
r239289,r595190
r239328,r254664
r239328,r614410
r239355,r156774
r239355,r317897
r239355,r940648
r239394,r889256
r239400,r226059
r239452,r983466
r239456,r136872
r239649,r516950
r239685,r584950
r239777,r736410
r239797,r341491
r239838,r979188
r239921,r551096
r239925,r599514
r240039,r262873
r240039,r426186
r240039,r485045
r240039,r832901
r240192,r376781
r240253,r792819
r240256,r607017
r240256,r622613
r240256,r665419
r240271,r926063
r240335,r133534
r240340,r232822
r240402,r207092
r240522,r776286
r240655,r589383
r240655,r806274
r240655,r986586
r240687,r808219
r240779,r715208
r240779,r740267
r240781,r597740
r240781,r635210
r240787,r374357
r240840,r176260
r240849,r667363
r240919,r924730
r240962,r199109
r240962,r211258
r240962,r278725
r240967,r933838
r241041,r440417
r241041,r469539
r241065,r918907
r241113,r820154
r241117,r128767
r241117,r133498
r241117,r378072
r241117,r612826
r241117,r693738
r241117,r960140
r241117,r996575
r241136,r137870
r241136,r425587
r241136,r527119
r241136,r578082
r241136,r816149
r241136,r943218
r241198,r125130
r241198,r214696
r241244,r237480
r241253,r710756
r241319,r335352
r241360,r269154
r241360,r432682
r241366,r383768
r241367,r213350
r241367,r461825
r241367,r756364
r241367,r767694
r241367,r805763
r241367,r925833
r241416,r772800
r241430,r116555
r241433,r764802
r241450,r977075
r241481,r262564
r241519,r960547
r241527,r223248
r241527,r445530
r241527,r650430
r241527,r961026
r241554,r697449
r241578,r193990
r241578,r245474
r241716,r898235
r241732,r134853
r241732,r157954
r241732,r354907
r241732,r968204
r241745,r516088
r241890,r711891
r241890,r800652
r241958,r610531
r242001,r887829
r242042,r185152
r242042,r302878
r242042,r319944
r242045,r303160
r242099,r485201
r242226,r275959
r242226,r722737
r242253,r599072
r242253,r722611
r242271,r237124
r242286,r267901
r242301,r903861
r242301,r960003
r242373,r858398
r242463,r275076
r242509,r129580
r242509,r207578
r242530,r299438
r242539,r310255
r242540,r859816
r242574,r253698
r242574,r261307
r242625,r334561
r242625,r982004
r242651,r328951
r242651,r687380
r242651,r986439
r242651,r987892
r242651,r989806
r242693,r588249
r242731,r476214
r242732,r213216
r242738,r492810
r242738,r810938
r242768,r916624
r242818,r326399
r242818,r536370
r242818,r583921
r242868,r762396
r242868,r998525
r242900,r982599
r242913,r381528
r242913,r401809
r242913,r875512
r242925,r162684
r242925,r965471
r242967,r494339
r243010,r436748
r243025,r832220
r243034,r135672
r243051,r492939
r243066,r345803
r243067,r501619
r243067,r785837
r243067,r814027
r243067,r933361
r243067,r944001
r243067,r966437
r243074,r890881
r243081,r343652
r243104,r503737
r243104,r968082
r243134,r736577
r243155,r481296
r243169,r584585
r243203,r224461
r243203,r586554
r243213,r246826
r243213,r510629
r243213,r614277
r243331,r256896
r243333,r608513
r243333,r762979
r243484,r286429
r243493,r315404
r243519,r310518
r243519,r922084
r243536,r210872
r243536,r512133
r243536,r921782
r243540,r577098
r243613,r269080
r243675,r196596
r243675,r199526
r243675,r504858
r243834,r997508
r243836,r506301
r243836,r787468
r243930,r638693
r243950,r340449
r243963,r478170
r244012,r103335
r244029,r219540
r244029,r305086
r244029,r996575
r244098,r786212
r244147,r132454
r244184,r280190
r244186,r400009
r244204,r292491
r244281,r843592
r244377,r683648
r244407,r125413
r244419,r234918
r244419,r243612
r244419,r407772
r244419,r520565
r244419,r694099
r244419,r768341
r244419,r803820
r244419,r816016
r244419,r885121
r244433,r309589
r244477,r428540
r244477,r450002
r244477,r704198
r244489,r330968
r244489,r616283
r244525,r182423
r244588,r228590
r244615,r322968
